Rank,ID,"Last Name","First Name",Position,Team,Points,VBD,"Bye Week"
288,14240,"Gentry","Zach",TE,PIT,36.7,79.7,9
289,14839,"Reagor","Jalen",WR,MIN,23.6,79.2,7
290,12437,"Myers","Jason",K,SEA,114.1,79.1,11
291,14846,"Mims","Denzel",WR,NYJ,22.8,78.5,10
292,13637,"St. Brown","Equanimeous",WR,CHI,22.8,78.5,14
293,13763,"Dissly","Will",TE,SEA,35.4,78.4,11
294,532,"Texans","Houston",D,HOU,96.6,78.0,6
295,12656,"Higgins","Rashard",WR,CAR,22.2,77.9,13
296,10312,"Rudolph","Kyle",TE,TBB,34.7,77.7,11
297,12464,"Byrd","Damiere",WR,ATL,21.4,77.2,14
298,10862,"Bullock","Randy",K,TEN,112.2,77.0,6
299,519,"Cardinals","Arizona",D,ARI,95.7,77.0,13
300,12785,"Robinson","Demarcus",WR,BAL,20.8,76.7,10
301,14561,"Smith","Jeff",WR,NYJ,20.5,76.4,10
302,13606,"Jones","Ronald",RB,KCC,38.6,76.4,8
303,15252,"Mills","Davis",QB,HOU,253.9,76.4,6
304,9694,"Gano","Graham",K,NYG,111.6,76.3,9
305,14864,"Johnson","Tyler",WR,HOU,20.4,76.3,6
306,13315,"Saubert","Eric",TE,DEN,33.2,76.3,9
307,12206,"Williams","Maxx",TE,ARI,33.2,76.2,13
308,12155,"Abdullah","Ameer",RB,LVR,38.3,76.2,6
309,10932,"Bolden","Brandon",RB,LVR,38.1,76.0,6
310,13880,"Arnold","Dan",TE,JAC,32.8,75.9,11
311,15326,"Milne","Dax",WR,WAS,18.6,74.6,14
312,12635,"Williams","Jonathan",RB,WAS,36.2,74.6,14
313,11193,"Bernard","Giovani",RB,TBB,35.8,74.3,11
314,15292,"Brown","Dyami",WR,WAS,17.7,73.8,14
315,11239,"Goodwin","Marquise",WR,SEA,17.6,73.8,11
316,12860,"Fairbairn","Ka'imi",K,HOU,109.3,73.8,6
317,8742,"Crosby","Mason",K,GBP,109.3,73.8,14
318,15344,"Bates","John",TE,WAS,30.7,73.8,14
319,9099,"Ryan","Matt",QB,IND,250.3,73.7,14
320,10868,"Zuerlein","Greg",K,NYJ,109.1,73.6,10
321,15564,"Hesse","Parker",TE,ATL,30.2,73.2,14
322,14815,"Dallas","DeeJay",RB,SEA,34.1,73.0,11
323,14811,"Ahmed","Salvon",RB,MIA,34.1,73.0,11
324,14810,"Vaughn","Ke'Shawn",RB,TBB,34.1,73.0,11
325,15240,"Lance","Trey",QB,SFO,249.4,73.0,9
326,13148,"Ogunbowale","Dare",RB,HOU,33.1,72.3,6
327,11367,"Juszczyk","Kyle",RB,SFO,32.8,72.0,9
328,12188,"Dorsett","Phillip",WR,HOU,15.3,71.6,6
329,14121,"Isabella","Andy",WR,ARI,15.2,71.5,13
330,15491,"Skowronek","Ben",WR,LAR,15.0,71.3,7
331,13634,"Pettis","Dante",WR,CHI,14.6,71.0,14
332,14072,"Snell","Benny",RB,PIT,31.3,70.9,9
333,14117,"Johnson","Tyron",WR,LVR,13.9,70.4,6
334,15767,"Jones","Velus",WR,CHI,13.9,70.4,14
335,15746,"Davis-Price","Tyrion",RB,SFO,30.2,70.1,9
336,12447,"Mostert","Raheem",RB,MIA,30.0,70.0,11
337,12325,"Burton","Michael",RB,KCC,30.0,69.9,8
